Company,ISIN,GICSSectorName,Country,Region
Suncorp Group Limited,AU000000SUN6,Financials,AUSTRALIA,PAC
Seven West Media Limited,AU000000SWM4,Consumer Discretionary,AUSTRALIA,PAC
Tabcorp Holdings Limited,AU000000TAH8,Consumer Discretionary,AUSTRALIA,PAC
Transurban Group,AU000000TCL6,Consumer Discretionary,AUSTRALIA,PAC
Telstra Group Limited,AU000000TLS2,Industrials,AUSTRALIA,PAC
Westpac Banking Corporation,AU000000WBC1,Financials,AUSTRALIA,PAC
Wesfarmers Limited,AU000000WES1,Industrials,AUSTRALIA,PAC
Woolworths Group Limited,AU000000WOW2,Consumer Staples,AUSTRALIA,PAC
A2B Australia Limited,AU0000032187,Industrials,AUSTRALIA,PAC
Healius Limited,AU0000033359,Health Care,AUSTRALIA,PAC
Ampol Limited,AU0000088338,Energy,AUSTRALIA,PAC
Woodside Energy Group Ltd,AU0000224040,Financials,AUSTRALIA,PAC
Solvay SA,BE0003470755,Materials,BELGIUM,EUR
KBC Group NV,BE0003565737,Financials,BELGIUM,EUR
Cofinimmo SA,BE0003593044,Real Estate,BELGIUM,EUR
Sofina,BE0003717312,Financials,BELGIUM,EUR
Orange Belgium S.A.,BE0003735496,Communication Services,BELGIUM,EUR
UCB SA,BE0003739530,Health Care,BELGIUM,EUR
Agfa-Gevaert NV,BE0003755692,Consumer Discretionary,BELGIUM,EUR
Groupe Bruxelles Lambert SA,BE0003797140,Financials,BELGIUM,EUR
Etn. Fr. Colruyt NV,BE0974256852,Consumer Staples,BELGIUM,EUR
NV Bekaert SA,BE0974258874,Industrials,BELGIUM,EUR
ageas SA/NV,BE0974264930,Financials,BELGIUM,EUR
Umicore SA,BE0974320526,Materials,BELGIUM,EUR
Arch Capital Group Ltd.,BMG0450A1053,Financials,UNITED STATES,AMER
Chinese Estates Holdings Limited,BMG2108M2182,Energy,HONG KONG,PAC
CK Infrastructure Holdings Limited,BMG2178K1009,Utilities,HONG KONG,PAC
COSCO SHIPPING Ports Limited,BMG2442N1048,Industrials,CHINA,EM
DFI Retail Group Holdings Limited,BMG2624N1535,Consumer Staples,HONG KONG,PAC
