ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AU000000CSR5,CSR,2510.61,2541.41,3253.23,3341.46,1296.28,1911.83,2329.03,2590.07,2674.96,1578.07,2459.17,2613.95,1016.75,1029.64,1199.63,1614.94,1063.95,1687.67,1877.53,997.64,1571.88,1958.89,2075.02,1526.95
AU000000DOW2,DOWNER EDI,152.91,170.94,351.88,292.94,817.84,1070.67,1553.28,1746.91,1528.63,872.61,2805.86,1614.63,1407.72,1804.23,1890.21,1681.79,1128.52,1873.22,3223.42,2830.2,3415.45,2884.36,2962.45,1689.63
AU000000DXS1,DEXUS STAPLED UNITS,595.33,518.84,477.98,612.51,836.83,2716.6,2820.07,3988.47,5149.04,1987.68,3643.37,3943.36,4117.6,5099.2,4161.3,5165.08,5281.83,6742.62,7758.59,7605.01,9021.17,7899.53,8695.67,5652.79
AU000000ELD6,ELDERS,812.64,580.44,603.13,455.54,737.09,1119.72,944.91,1122.94,1427.54,368.37,629.35,269.0,119.57,53.56,46.81,164.44,283.29,327.31,739.56,604.08,708.02,1189.62,1394.77,1076.0
AU000000ERA9,ENERGY RES.OF AUS.,224.36,222.27,141.87,137.56,365.98,738.03,1379.56,3127.07,3265.83,2526.64,4098.03,2176.08,650.19,682.62,583.6,550.79,135.6,163.08,368.49,89.3,428.15,940.0,912.49,544.47
AU000000FLT9,FLIGHT CENTRE TRAVEL GP.,699.7,1030.8,989.52,1085.75,1544.59,1392.27,701.3,1255.44,2824.84,541.68,1651.29,2534.76,1652.59,2807.61,4276.74,2688.65,2927.4,2288.53,3496.86,3054.35,3132.19,2435.81,2556.8,1966.79
AU000000GMG2,GOODMAN GROUP,24.61,38.25,98.35,186.0,587.88,890.92,5102.04,9942.5,7365.71,1434.08,3543.93,4592.65,4499.49,7701.63,7273.12,8127.62,8074.89,9237.0,11859.15,13574.16,17184.31,26957.71,35994.51,22138.12
AU000000GPT8,GPT GROUP STAPLED UNITS,2449.5,2557.17,2704.69,3260.71,4392.33,5912.62,6065.33,9011.19,7448.06,2865.44,5047.92,5591.87,5720.0,6750.09,5155.48,5999.97,6241.94,6548.6,7200.68,6785.2,7668.09,6764.09,7548.5,5455.99
AU000000GUD2,GUD HOLDINGS,63.48,57.11,63.46,130.11,315.64,440.87,329.63,417.48,522.94,241.44,490.55,700.0,506.71,640.67,367.12,420.31,527.07,650.02,821.72,684.36,676.51,848.83,1105.8,724.25
AU000000GWA4,GWA GROUP,414.84,289.62,351.04,398.9,602.81,685.03,622.65,829.18,873.33,571.04,862.58,947.53,661.52,727.59,833.68,747.54,395.95,565.73,588.37,516.57,616.0,711.5,530.24,368.69
AU000000HIL8,HILLS DEAD - DELIST.29/08/23,167.94,170.86,181.84,241.93,382.48,465.68,598.95,760.76,826.8,409.65,454.89,475.4,284.13,231.6,369.15,224.02,57.39,77.27,37.2,26.95,52.18,31.33,21.08,8.81
AU000000HVN7,HARVEY NORMAN HOLDINGS,1938.73,2223.38,2189.0,1563.72,2372.87,2611.65,2265.72,3168.76,6342.86,1962.69,4031.7,3201.43,1998.47,2095.49,3003.24,3053.79,3379.89,4140.82,3632.11,2624.48,3564.85,4509.38,4475.16,3489.76
AU000000ILU1,ILUKA RESOURCES,588.62,500.61,495.01,603.05,794.62,1148.44,1339.49,1220.83,978.41,1231.56,1348.06,3922.76,6653.39,3920.92,3232.68,2038.74,1867.39,2204.14,3330.5,2265.92,2762.63,2117.25,3107.64,2746.23
AU000000JHX1,JAMES HARDIE INDUSTRIES CDI,1062.65,831.68,1383.4,1759.32,2376.3,2410.99,3051.41,3534.58,2649.73,1409.63,3320.71,3030.7,3046.5,4174.75,5134.67,4809.48,5662.01,7013.16,7811.45,4707.64,8678.95,13099.69,17905.32,7982.24
AU000000LLC3,LENDLEASE GROUP STAPLED UNITS,7069.74,3983.96,2878.25,2382.72,3132.22,4140.93,4240.53,5816.01,6092.98,2027.11,4255.74,5003.0,4197.28,5533.55,5747.69,7778.76,6030.1,6171.77,7467.97,4616.53,6983.71,6958.2,5353.49,3664.25
AU000000MAH3,MACMAHON HOLDINGS,27.75,11.78,10.86,24.98,63.56,142.19,232.79,364.23,777.18,144.74,405.81,394.85,424.06,294.72,163.67,74.34,79.1,87.09,387.66,326.18,431.73,440.67,289.85,211.9
AU000000MGR9,MIRVAC GROUP STAPLED UNITS,1096.52,1199.67,1222.65,1452.73,2227.01,2798.62,2595.59,4406.55,5413.38,1514.17,4231.03,4289.16,4133.66,5281.28,5508.39,5385.59,5331.85,5714.56,6820.68,5768.78,8793.9,8021.48,8341.52,5699.62
AU000000MGX7,MOUNT GIBSON IRON,2.55,2.17,2.37,14.64,41.32,79.3,203.43,520.67,1956.81,283.68,1598.21,2352.53,1243.03,945.42,990.32,218.7,142.85,277.91,385.95,424.99,777.18,841.91,374.06,399.42
AU000000MND5,MONADELPHOUS GROUP,41.61,25.77,15.74,29.26,66.23,120.5,277.77,592.53,1005.63,395.85,1106.89,1641.76,1829.08,2298.57,1536.04,714.63,446.84,763.11,1277.19,913.59,1106.81,984.13,667.37,870.09
AU000000MQG1,MACQUARIE GROUP,2922.63,2813.38,3790.57,2712.22,5764.57,8126.51,11580.73,15748.66,18245.08,5691.12,14571.4,13154.49,8501.7,12497.19,15786.46,15471.7,20493.15,21470.76,26522.79,26035.61,34340.27,38663.8,57292.07,43758.3
AU000000MTS0,METCASH,186.75,107.81,477.52,723.87,1290.76,1914.0,2459.37,2755.28,2916.83,2335.66,3076.09,3238.85,3194.75,3035.61,2489.81,1371.26,1090.84,1610.75,2380.84,1568.28,1642.65,2666.52,3158.97,2606.03
AU000000NAB4,NATIONAL AUS.BANK,22631.46,24281.73,25464.44,27133.6,33933.46,35045.92,37956.19,51909.34,54212.33,27212.65,52203.24,52706.62,53608.53,60791.59,73271.62,66524.22,57960.78,59301.87,62110.77,47064.41,51029.79,57500.04,68422.55,64243.94
AU000000NCM7,NEWCREST MINING,823.79,588.28,592.92,1293.54,3199.86,4503.87,5912.81,6940.27,13157.84,10700.11,15369.25,31720.11,23240.39,17636.63,5348.87,6831.04,7233.19,11242.74,13697.76,11790.47,16348.94,16243.99,14558.08,12509.23
AU000000ORG5,ORIGIN ENERGY (EX BORAL),1754.35,654.22,933.3,1362.76,2371.35,3640.69,4360.7,5584.92,6803.47,9831.39,13283.9,15110.48,14854.56,13198.04,13861.84,10565.47,5982.44,8374.08,12951.8,8014.01,10461.51,6469.07,6709.72,9019.11
AU000000ORI1,ORICA,1474.91,882.58,1023.29,1661.32,2910.75,4366.23,4651.22,5950.83,8750.51,3500.99,8458.93,9242.09,9070.72,9543.93,7903.52,5780.42,4211.29,4815.87,5353.46,4613.98,5886.07,4744.96,4069.2,4638.09
AU000000OZL8,OZ MINERALS DEAD - DELIST.03/05/23,10.83,11.92,48.19,216.82,746.99,922.96,1749.9,3460.01,4722.27,1196.9,3312.42,5709.79,3233.25,2110.91,855.22,864.24,894.22,1733.78,2139.75,2000.42,2401.91,4826.57,6845.68,6336.24
AU000000PPT9,PERPETUAL,454.77,705.31,851.58,684.98,1220.7,1889.92,2018.71,2527.66,2414.05,1091.73,1434.08,1412.11,879.28,1514.11,2008.92,1764.69,1580.78,1644.42,1761.28,1064.96,1354.56,1515.73,1481.12,956.04
AU000000QAN2,QANTAS AIRWAYS,3011.28,2536.6,2922.68,3788.79,4517.06,5432.07,5715.65,8163.13,9184.14,3574.85,6090.96,5897.5,3390.42,3503.94,2151.6,4313.7,6137.16,4456.85,6879.19,6669.44,7450.98,7058.58,6869.92,7404.91
AU000000QBE9,QBE INSURANCE GROUP,1834.09,2355.53,2301.06,2824.45,5364.12,8968.15,11408.66,18613.96,25941.32,17753.57,23591.03,19565.65,14810.36,13542.78,12858.32,12521.65,12560.89,12335.25,11357.06,9447.39,11846.54,9681.56,12184.14,13522.02
AU000000RHC8,RAMSAY HEALTH CARE,71.18,105.78,298.42,257.04,463.36,749.98,1202.32,1548.12,1670.47,1267.2,1979.14,3687.12,3994.3,5723.33,7820.99,9442.85,9989.02,9994.21,11082.88,8212.93,10303.15,10982.09,11898.13,10042.46
AU000000SBM8,ST BARBARA,15.1,18.07,24.06,23.26,31.15,44.48,177.11,390.66,680.17,285.35,518.05,680.89,647.61,732.2,113.53,42.54,513.31,734.64,1539.98,1734.76,1336.82,1284.53,755.73,429.15
AU000000SDG6,SUNLAND GROUP,53.72,35.88,36.44,53.61,147.24,310.74,300.74,827.3,1265.76,168.05,215.88,173.82,136.39,199.6,223.53,237.92,198.82,190.99,211.77,143.5,158.8,256.72,273.73,163.87
AU000000SGM7,SIMS,307.49,265.86,264.98,399.92,734.24,1270.97,1178.19,1998.54,2982.48,2198.72,4062.21,4530.85,2675.96,1961.91,1991.73,2015.15,1082.9,1834.29,2483.06,1432.85,1522.32,2090.96,2306.84,1714.57
AU000000SGP0,STOCKLAND STAPLED UNITS,884.97,1550.12,1702.75,2265.71,4725.6,6077.94,6430.61,8930.21,10724.21,4473.78,8465.45,8793.77,7575.68,8072.35,7446.78,7919.07,7092.17,7976.07,8530.35,5961.43,7743.53,7699.59,7358.87,5876.45
AU000000SHL7,SONIC HEALTHCARE,766.43,943.29,1047.68,956.27,1409.65,2596.99,3186.27,3463.94,4892.81,3896.3,5369.18,4618.62,4509.7,5480.64,5944.14,6077.03,5374.31,6450.92,7556.61,7112.31,9600.21,11853.88,16263.6,9773.83
AU000000STO6,SANTOS,1646.34,2038.55,1836.72,1975.35,3024.55,3890.77,5338.87,4654.32,7262.84,6056.84,10535.15,11782.19,11819.6,11049.98,12698.8,6631.95,4727.2,5915.07,8878.74,8035.66,11977.96,10078.47,15538.04,16042.92
AU000000SUN6,SUNCORP GROUP,1693.16,1925.86,3640.64,3314.48,4986.08,7384.13,8141.81,9073.9,13832.77,5934.59,9932.36,11309.07,11053.39,13584.47,15078.7,14803.68,11364.06,12630.9,14049.46,11545.63,11487.6,9624.9,10161.94,10321.07
AU000000SWM4,SEVEN WEST MEDIA,715.39,601.69,533.57,603.2,1040.57,1469.75,1267.88,1926.44,2302.22,809.69,1550.77,1447.84,2144.85,1701.21,2100.64,1103.85,850.32,879.04,725.39,583.91,356.78,391.65,745.68,421.54
AU000000TAH8,TABCORP HOLDINGS,2499.11,2270.06,1880.05,2194.48,3513.76,7053.55,5995.34,6971.67,6812.33,2597.49,3798.55,4991.72,1995.0,2324.25,2449.54,2600.28,2849.27,2909.19,8774.28,6087.47,6449.27,6672.39,8123.56,1661.76
AU000000TCL6,TRANSURBAN GROUP STAPLED UNITS,1117.94,1291.64,1099.07,1158.07,1758.92,2832.59,3837.3,5008.62,6505.63,4793.01,6427.45,7564.21,8362.68,9246.05,9093.44,13385.67,15454.51,15264.97,21600.04,21911.42,28645.41,28845.43,30845.2,27067.71
AU000000TLS2,TELSTRA GROUP,34794.7,22914.58,17879.26,15944.06,22451.92,23082.58,17288.54,33430.84,42494.1,33226.07,38383.46,35585.58,42479.57,56453.04,58443.48,59729.23,49900.64,44106.54,33767.06,23862.59,29595.92,27349.04,35735.64,31264.11
AU000000WBC1,WESTPAC BANKING,12638.79,12870.34,14202.7,13679.44,21684.4,27417.19,30556.19,35357.38,46046.21,34077.72,67648.28,68416.25,62617.86,83907.87,90064.39,84670.96,81449.75,79235.63,83229.92,60773.96,61516.19,54834.31,56945.45,55565.38
AU000000WES1,WESFARMERS,2198.57,2406.08,5873.12,5701.25,7511.57,11794.7,10252.17,11214.94,19374.16,8323.14,28266.9,32971.36,30421.69,38511.69,45045.04,38366.82,34092.42,34509.22,39392.63,25718.65,32997.31,44096.7,48884.15,35305.49
AU000000WOW2,WOOLWORTHS GROUP,3936.47,4984.33,5976.94,6796.11,9036.6,12283.91,14384.84,22678.66,36249.06,22784.43,31224.54,33530.74,31570.95,37838.01,37993.98,31713.78,22654.87,22479.65,27859.59,27285.78,32058.6,38383.23,33492.98,27685.39
AU0000032187,A2B AUSTRALIA,165.56,175.64,167.29,253.97,275.29,371.26,559.83,857.89,1109.01,533.2,650.96,720.97,553.15,547.63,429.89,450.4,261.11,338.35,183.68,186.52,126.99,111.52,116.45,87.15
AU0000033359,HEALIUS,244.84,221.52,177.22,178.9,392.63,654.11,1021.85,1303.94,1486.44,1281.84,2588.34,1916.91,1579.87,2088.78,2236.19,1973.98,887.74,1540.49,1476.61,976.99,1208.21,1793.19,2392.18,1209.18
AU0000088338,AMPOL,429.31,315.05,197.64,325.36,939.85,2298.56,3838.34,4894.74,4592.15,1353.46,2258.23,3977.06,3257.98,5384.8,4843.14,7558.89,7405.88,5752.5,6945.87,4678.37,5959.32,5476.19,5138.79,4570.17
